HG00337	HG00337
HG00306	HG00306
HG00382	HG00382
HG00281	HG00281
NA20506	NA20506
NA20513	NA20513
NA20544	NA20544
NA20582	NA20582
NA20525	NA20525
HG01502	HG01502
NA20532	NA20532
HG01507	HG01507
NA20518	NA20518
HG01519	HG01519
NA20520	NA20520
HG01521	HG01521
HG01526	HG01526
NA06985	NA06985
NA20587	NA20587
HG01608	HG01608
NA20753	NA20753
HG01610	HG01610
NA20537	NA20537
HG01615	HG01615
HG01603	HG01603
HG01538	HG01538
HG01622	HG01622
HG01627	HG01627
HG01514	HG01514
HG01709	HG01709
HG01711	HG01711
HG01747	HG01747
NA12336	NA12336
HG01773	HG01773
NA12343	NA12343
HG01778	HG01778
NA12348	NA12348
HG01780	HG01780
NA12386	NA12386
HG01684	HG01684
NA12766	NA12766
HG01696	HG01696
NA12778	NA12778
HG01761	HG01761
NA12812	NA12812
HG01602	HG01602
HG01766	HG01766
NA12817	NA12817
HG01607	HG01607
HG01672	HG01672
NA12829	NA12829
HG01532	HG01532
HG01677	HG01677
NA12843	NA12843
HG01537	HG01537
NA12413	NA12413
NA12716	NA12716
HG01518	HG01518
HG01704	HG01704
HG01520	HG01520
HG01525	HG01525
NA12761	NA12761
HG01785	HG01785
NA12874	NA12874
HG01501	HG01501
HG01506	HG01506
HG01513	HG01513
HG01614	HG01614
HG01784	HG01784
HG01789	HG01789
HG01791	HG01791
HG01619	HG01619
HG01621	HG01621
HG01626	HG01626
HG01708	HG01708
HG01710	HG01710
HG01746	HG01746
HG01633	HG01633
HG01669	HG01669
HG01671	HG01671
HG01772	HG01772
HG01777	HG01777
HG01683	HG01683
HG01695	HG01695
HG01676	HG01676
HG01765	HG01765
HG01703	HG01703
HG02233	HG02233
HG02238	HG02238
HG02240	HG02240
NA20524	NA20524
NA20529	NA20529
NA20531	NA20531
NA20769	NA20769
NA20771	NA20771
HG02219	HG02219
NA20505	NA20505
HG02221	HG02221
NA20512	NA20512
NA20586	NA20586
NA20752	NA20752
NA20543	NA20543
NA20581	NA20581
NA20757	NA20757
NA20764	NA20764
NA20517	NA20517
NA20783	NA20783
NA20536	NA20536
HG02220	HG02220
HG02225	HG02225
HG02232	HG02232
HG02237	HG02237
HG00118	HG00118
HG00120	HG00120
HG00125	HG00125
HG00137	HG00137
HG00144	HG00144
HG00101	HG00101
HG00106	HG00106
HG00149	HG00149
HG00151	HG00151
HG00132	HG00132
HG00156	HG00156
HG00182	HG00182
HG00113	HG00113
HG00098	HG00098
HG00308	HG00308
HG00310	HG00310
HG00264	HG00264
HG00269	HG00269
HG00187	HG00187
HG00233	HG00233
HG00252	HG00252
HG00257	HG00257
HG00238	HG00238
HG00240	HG00240
HG00271	HG00271
HG00188	HG00188
HG00276	HG00276
HG00190	HG00190
HG00245	HG00245
HG00234	HG00234
HG00315	HG00315
HG00373	HG00373
HG00288	HG00288
HG00378	HG00378
HG00290	HG00290
HG00380	HG00380
HG00358	HG00358
HG00359	HG00359
HG00360	HG00360
HG00361	HG00361
HG00365	HG00365
HG00366	HG00366
HG00304	HG00304
HG00309	HG00309
HG00311	HG00311
HG00384	HG00384
HG00272	HG00272
HG00277	HG00277
HG00334	HG00334
HG00328	HG00328
HG00339	HG00339
HG00330	HG00330
HG00341	HG00341
HG00335	HG00335
HG00372	HG00372
HG00342	HG00342
HG00377	HG00377
HG00265	HG00265
HG00346	HG00346
HG00284	HG00284
HG00353	HG00353
HG00323	HG00323
HG00327	HG00327
HG01605	HG01605
HG01504	HG01504
HG01509	HG01509
HG01511	HG01511
HG01516	HG01516
HG01523	HG01523
HG01528	HG01528
HG01530	HG01530
NA11831	NA11831
NA11843	NA11843
NA11881	NA11881
HG01503	HG01503
NA11893	NA11893
HG01508	HG01508
NA07037	NA07037
NA07051	NA07051
NA07056	NA07056
NA07347	NA07347
NA10857	NA10857
NA10864	NA10864
NA11829	NA11829
HG01510	HG01510
NA10840	NA10840
HG01515	HG01515
NA10845	NA10845
NA10852	NA10852
NA10838	NA10838
NA06995	NA06995
NA11994	NA11994
NA12005	NA12005
NA12043	NA12043
HG01673	HG01673
NA11918	NA11918
HG01678	HG01678
NA11920	NA11920
HG01680	HG01680
NA06994	NA06994
NA11932	NA11932
HG01522	HG01522
NA07000	NA07000
NA12815	NA12815
HG01527	HG01527
NA07029	NA07029
NA12827	NA12827
HG01623	HG01623
NA07031	NA07031
NA12144	NA12144
HG01628	HG01628
HG00139	HG00139
NA07048	NA07048
NA12156	NA12156
HG01685	HG01685
HG00141	HG00141
NA07055	NA07055
NA12264	NA12264
HG01697	HG01697
HG00146	HG00146
NA07346	NA07346
NA12283	NA12283
HG00158	HG00158
NA10856	NA10856
NA12341	NA12341
HG00160	HG00160
NA10863	NA10863
